ISBN;Title;Author
15834 70 72 7;Expert Preparation for IBM Exam 730: DB2 9 Fundamentals Certification Study Guide;Roger E. Sanders
01314-91-20-2;DB2 Universal Database for z/OS V8.1 DBA Certification Guide;Susan Lawson
0131477501;The Official Introduction to DB2 UDB for z/OS Version 8;Susan Sloan
0131424653;DB2 Universal Database V8.1 Certification Test 700 Study Guide;Roger Sanders
0-67232-582-9;Teach Yourself DB2 Universal Database in 21 Days;Susan Visser
07 64 50 84 15;DB2 Fundamentals Certification for Dummies;Paul Zikopoulos
1583470808;DB2 9 for Linux, UNIX, and Windows Advanced Database Administration Certification Study Guide;Roger E. Sanders
013185514a;DB2 9 for Linux, UNIX, and Windows: DBA Guide, Reference and Exam Prep 6th Edition;George Baklarz
1-58347-074-3;Expert Preparation for Exam 732: DB2 9 for z/OS Database Administration Certification Study Guide;Susan Lawson
013-1477-50-1;The Official Introduction to DB2 UDB for z/OS Version 8;Susan Sloan
013-1840-48-7;DB2 Universal Database V8.1 Certification Exams 701 and 706 Study Guide;Roger Sanders
0130463884;Advanced DBA Certification Guide and Reference for DB2 Universal Database v8.1 for Linux, UNIX, and Windows, First Edition;Dwaine Snow
0130650765;DB2 Universal Database for OS/390 Version 7.1 Certification Guide;Richard Yevich
0130913669;DB2 Universal Database v7.1 for UNIX, Linux, Windows and OS/2 - Database Administration Certification Guide, Fourth Edition;Bill Wong
007 213 3759;DB2 Administration All in One Exam Guide;Roger Sanders
0-1304-63-91-4;DB2 Universal Database v8.1 Application Development Certification Guide, Second Edition;Steve Sanyal
0131840495;DB2 UDB V8.1 Certification Test 703 Study Guide;Roger Sanders
0131-0077-1-8;DB2 Universal Database for OS/390 v7.1 Application Certification Guide, First Edition;Susan Lawson
0130913677;DB2 Universal Database v 7.1 Application Development Certification Guide;Steve Sanyal
0131413031;Business Intelligence for the Enterprise;Mike Biere
0-8044-2957-6;Not real, just for test purpose;myself
2342323232323;Not real, just for test purpose;myself
1212121212322;Not real, just for test purpose;myself
5764762154344;Not real, just for test purpose;myself
4531513451353;Not real, just for test purpose;myself
9087u3456868867;Not real, just for test purpose;myself
0 13046 36 19;Not real, just for test purpose;myself
978158347X;Not real, just for test purpose;myself
978-158347-077-5;Not real, just for test purpose;myself
