"Priority","Identifier","File","Line","Evidence trail","Background information","Source hash","Scanner","Source component"
"2","DP_CREATE_CLASSLOADER_INSIDE_DO_PRIVILEGED","com/ibm/tdi/eclipse/Activator.java","287","com.ibm.tdi.eclipse.Activator.loadResources(BundleContext) creates a com.ibm.di.loader.IDILoader classloader, which should be performed within a doPrivileged block","http://findbugs.sourceforge.net/bugDescriptions.html#DP_CREATE_CLASSLOADER_INSIDE_DO_PRIVILEGED","-1987640802","findbugs",
"2","IS2_INCONSISTENT_SYNC","com/ibm/di/connector/DominoChangeDetectionConnector.java","659","Inconsistent synchronization of com.ibm.di.connector.DominoChangeDetectionConnector.mNotesThread; locked 40% of time","http://findbugs.sourceforge.net/bugDescriptions.html#IS2_INCONSISTENT_SYNC","-370089649","findbugs",
"2","IS2_INCONSISTENT_SYNC","com/ibm/di/queue/MemBufferQ.java","388","Inconsistent synchronization of com.ibm.di.queue.MemBufferQ.chunk; locked 73% of time","http://findbugs.sourceforge.net/bugDescriptions.html#IS2_INCONSISTENT_SYNC","770205402","findbugs",
"2","NP_NULL_ON_SOME_PATH","com/ibm/di/connector/tam/Policy.java","685","Possible null pointer dereference of Policy.mAcctExpDateEnforced in com.ibm.di.connector.tam.Policy.update(String, boolean)","http://findbugs.sourceforge.net/bugDescriptions.html#NP_NULL_ON_SOME_PATH","-1803352468","findbugs",
"2","NP_NULL_ON_SOME_PATH","com/ibm/di/connector/tam/Policy.java","685","Possible null pointer dereference of Policy.mAcctExpDateUnlimited in com.ibm.di.connector.tam.Policy.update(String, boolean)","http://findbugs.sourceforge.net/bugDescriptions.html#NP_NULL_ON_SOME_PATH","-1803352468","findbugs",
"2","ODR_OPEN_DATABASE_RESOURCE","com/ibm/di/amc/util/AMUtils.java","1004","com.ibm.di.amc.util.AMUtils.getLocalAMVariableName(int) may fail to close java.sql.PreparedStatement","http://findbugs.sourceforge.net/bugDescriptions.html#ODR_OPEN_DATABASE_RESOURCE","-942659099","findbugs",
"2","ODR_OPEN_DATABASE_RESOURCE","com/ibm/di/amc/util/AMUtils.java","1014","com.ibm.di.amc.util.AMUtils.getLocalAMVariableName(int) may fail to close PreparedStatement","http://findbugs.sourceforge.net/bugDescriptions.html#ODR_OPEN_DATABASE_RESOURCE","733488663","findbugs",
"2","RU_INVOKE_RUN","com/ibm/di/server/RS.java","646","com.ibm.di.server.RS.main(String[]) explicitly invokes run on a thread (did you mean to start it instead?)","http://findbugs.sourceforge.net/bugDescriptions.html#RU_INVOKE_RUN","-1073474379","findbugs",
"3","DE_MIGHT_IGNORE","com/ibm/di/store/DeltaSysTable.java","163","com.ibm.di.store.DeltaSysTable.delete(String) might ignore java.lang.Exception","http://findbugs.sourceforge.net/bugDescriptions.html#DE_MIGHT_IGNORE","232907041","findbugs",
"3","DE_MIGHT_IGNORE","com/ibm/di/store/SandboxStore.java","138","com.ibm.di.store.SandboxStore.setTCB(TaskCallBlock) might ignore java.lang.Exception","http://findbugs.sourceforge.net/bugDescriptions.html#DE_MIGHT_IGNORE","232907041","findbugs",
