"Priority","Identifier","File","Line","Evidence trail","Background information","Source hash","Scanner","Source component"
"2","AvoidThreadGroup","C:\pmd_baseline\amc3\src\ActionManager\com\ibm\di\amc\actionmanager\ALExecutionIntervalListener.java","263","Avoid using ThreadGroup; it is not thread safe","http://pmd.sourceforge.net/rules/index.html#AvoidThreadGroup","-477713142","pmd",
"2","AvoidThreadGroup","C:\pmd_baseline\amc3\src\ActionManager\com\ibm\di\amc\actionmanager\AMLocalVariableListener.java","253","Avoid using ThreadGroup; it is not thread safe","http://pmd.sourceforge.net/rules/index.html#AvoidThreadGroup","-477713142","pmd",
"2","AvoidThreadGroup","C:\pmd_baseline\amc3\src\ActionManager\com\ibm\di\amc\actionmanager\APIFailureListener.java","178","Avoid using ThreadGroup; it is not thread safe","http://pmd.sourceforge.net/rules/index.html#AvoidThreadGroup","-477713142","pmd",
"2","AvoidThreadGroup","C:\pmd_baseline\amc3\src\ActionManager\com\ibm\di\amc\actionmanager\AssemblyLineStartListener.java","175","Avoid using ThreadGroup; it is not thread safe","http://pmd.sourceforge.net/rules/index.html#AvoidThreadGroup","-477713142","pmd",
"2","AvoidThreadGroup","C:\pmd_baseline\amc3\src\ActionManager\com\ibm\di\amc\actionmanager\AssemblyLineTerminateListener.java","229","Avoid using ThreadGroup; it is not thread safe","http://pmd.sourceforge.net/rules/index.html#AvoidThreadGroup","-477713142","pmd",
"2","AvoidThreadGroup","C:\pmd_baseline\amc3\src\ActionManager\com\ibm\di\amc\actionmanager\ConfigLoadListener.java","147","Avoid using ThreadGroup; it is not thread safe","http://pmd.sourceforge.net/rules/index.html#AvoidThreadGroup","-477713142","pmd",
"2","AvoidThreadGroup","C:\pmd_baseline\amc3\src\ActionManager\com\ibm\di\amc\actionmanager\ConfigUnloadListener.java","147","Avoid using ThreadGroup; it is not thread safe","http://pmd.sourceforge.net/rules/index.html#AvoidThreadGroup","-477713142","pmd",
"2","AvoidThreadGroup","C:\pmd_baseline\amc3\src\ActionManager\com\ibm\di\amc\actionmanager\EventTriggeredListener.java","250","Avoid using ThreadGroup; it is not thread safe","http://pmd.sourceforge.net/rules/index.html#AvoidThreadGroup","-477713142","pmd",
"2","AvoidThreadGroup","C:\pmd_baseline\amc3\src\ActionManager\com\ibm\di\amc\actionmanager\InspectALExitCodeListener.java","239","Avoid using ThreadGroup; it is not thread safe","http://pmd.sourceforge.net/rules/index.html#AvoidThreadGroup","-477713142","pmd",
"2","AvoidThreadGroup","C:\pmd_baseline\amc3\src\ActionManager\com\ibm\di\amc\actionmanager\PropertyValueListener.java","253","Avoid using ThreadGroup; it is not thread safe","http://pmd.sourceforge.net/rules/index.html#AvoidThreadGroup","-477713142","pmd",
"2","AvoidThreadGroup","C:\pmd_baseline\amc3\src\ActionManager\com\ibm\di\amc\actionmanager\QueryALListener.java","249","Avoid using ThreadGroup; it is not thread safe","http://pmd.sourceforge.net/rules/index.html#AvoidThreadGroup","-477713142","pmd",
"2","AvoidThreadGroup","C:\pmd_baseline\amc3\src\ActionManager\com\ibm\di\amc\actionmanager\TimerTriggerListener.java","156","Avoid using ThreadGroup; it is not thread safe","http://pmd.sourceforge.net/rules/index.html#AvoidThreadGroup","-477713142","pmd",
"2","AvoidThreadGroup","C:\pmd_baseline\src\com\ibm\di\queue\MemBufferQFactory.java","204","Avoid using ThreadGroup; it is not thread safe","http://pmd.sourceforge.net/rules/index.html#AvoidThreadGroup","-1260501813","pmd",
"2","AvoidThreadGroup","C:\pmd_baseline\src\com\ibm\di\queue\MemBufferQFactory.java","81","Avoid using ThreadGroup; it is not thread safe","http://pmd.sourceforge.net/rules/index.html#AvoidThreadGroup","2010199442","pmd",
"2","AvoidThreadGroup","C:\pmd_baseline\src\com\ibm\di\queue\MemBufferQFactory.java","84","Avoid using ThreadGroup; it is not thread safe","http://pmd.sourceforge.net/rules/index.html#AvoidThreadGroup","-1610826412","pmd",
"2","AvoidThreadGroup","C:\pmd_baseline\src\com\ibm\di\queue\MemBufferQFactory.java","87","Avoid using ThreadGroup; it is not thread safe","http://pmd.sourceforge.net/rules/index.html#AvoidThreadGroup","665983324","pmd",
"2","AvoidThreadGroup","C:\pmd_baseline\src\com\ibm\di\server\RS.java","2852","Avoid using ThreadGroup; it is not thread safe","http://pmd.sourceforge.net/rules/index.html#AvoidThreadGroup","-1930207860","pmd",
"2","AvoidUsingHardCodedIP","C:\pmd_baseline\src\com\ibm\di\UpdateInstaller\Fix.java","270","Do not hard code IPv4 or IPv6 addresses, even 127.0.0.1 !","http://pmd.sourceforge.net/rules/index.html#AvoidUsingHardCodedIP","-850255652","pmd",
"2","AvoidUsingHardCodedIP","C:\pmd_baseline\src\com\ibm\di\UpdateInstaller\Fix.java","272","Do not hard code IPv4 or IPv6 addresses, even 127.0.0.1 !","http://pmd.sourceforge.net/rules/index.html#AvoidUsingHardCodedIP","-1760153117","pmd",
"2","AvoidUsingHardCodedIP","C:\pmd_baseline\src\com\ibm\di\UpdateInstaller\Fix.java","47","Do not hard code IPv4 or IPv6 addresses, even 127.0.0.1 !","http://pmd.sourceforge.net/rules/index.html#AvoidUsingHardCodedIP","1377388684","pmd",
"2","AvoidUsingHardCodedIP","C:\pmd_baseline\src\com\ibm\di\UpdateInstaller\Fix.java","52","Do not hard code IPv4 or IPv6 addresses, even 127.0.0.1 !","http://pmd.sourceforge.net/rules/index.html#AvoidUsingHardCodedIP","816928962","pmd",
"2","CheckResultSet","C:\pmd_baseline\amc3\src\migamcdb\com\ibm\di\amc\migrateDB\BackupData.java","190","Always check the return of one of the navigation method (next,previous,first,last) of a ResultSet.","http://pmd.sourceforge.net/rules/index.html#CheckResultSet","-137087902","pmd",
"2","CheckResultSet","C:\pmd_baseline\export\ce_rcp\plugins\com.ibm.tdi.rcp\src\com\ibm\tdi\eclipse\editors\SystemStoreEditor.java","416","Always check the return of one of the navigation method (next,previous,first,last) of a ResultSet.","http://pmd.sourceforge.net/rules/index.html#CheckResultSet","-143665395","pmd",
"2","CheckResultSet","C:\pmd_baseline\export\ce_rcp\plugins\com.ibm.tdi.rcp\src\com\ibm\tdi\eclipse\editors\SystemStoreEditor.java","567","Always check the return of one of the navigation method (next,previous,first,last) of a ResultSet.","http://pmd.sourceforge.net/rules/index.html#CheckResultSet","-356730873","pmd",
"2","CheckResultSet","C:\pmd_baseline\src\com\ibm\di\connector\DBChangelogConnector.java","646","Always check the return of one of the navigation method (next,previous,first,last) of a ResultSet.","http://pmd.sourceforge.net/rules/index.html#CheckResultSet","-561365078","pmd",
"2","CheckResultSet","C:\pmd_baseline\src\com\ibm\di\connector\JDBCConnector.java","1525","Always check the return of one of the navigation method (next,previous,first,last) of a ResultSet.","http://pmd.sourceforge.net/rules/index.html#CheckResultSet","-561365078","pmd",
"2","CheckResultSet","C:\pmd_baseline\src\com\ibm\di\connector\JDBCConnector.java","367","Always check the return of one of the navigation method (next,previous,first,last) of a ResultSet.","http://pmd.sourceforge.net/rules/index.html#CheckResultSet","-1403231372","pmd",
"2","CheckResultSet","C:\pmd_baseline\src\com\ibm\di\connector\JDBCConnector.java","375","Always check the return of one of the navigation method (next,previous,first,last) of a ResultSet.","http://pmd.sourceforge.net/rules/index.html#CheckResultSet","-514006218","pmd",
"2","EmptyCatchBlock","C:\pmd_baseline\export\ce_rcp\plugins\com.ibm.tdi.loader\src\com\ibm\tdi\loader\TDIClassLoaderHook.java","159","Avoid empty catch blocks","http://pmd.sourceforge.net/rules/index.html#EmptyCatchBlock","-785012211","pmd",
"2","EmptyCatchBlock","C:\pmd_baseline\export\ce_rcp\plugins\com.ibm.tdi.loader\src\com\ibm\tdi\loader\TDIClassLoaderHook.java","202","Avoid empty catch blocks","http://pmd.sourceforge.net/rules/index.html#EmptyCatchBlock","232907041","pmd",
"2","EmptyCatchBlock","C:\pmd_baseline\export\ce_rcp\plugins\com.ibm.tdi.rcp\src\com\ibm\di\config\eclipse\TDIConfigurationFile.java","439","Avoid empty catch blocks","http://pmd.sourceforge.net/rules/index.html#EmptyCatchBlock","-12395877","pmd",
"2","EmptyCatchBlock","C:\pmd_baseline\export\ce_rcp\plugins\com.ibm.tdi.rcp\src\com\ibm\di\config\eclipse\TDIConfigurationFile.java","485","Avoid empty catch blocks","http://pmd.sourceforge.net/rules/index.html#EmptyCatchBlock","1965211283","pmd",
"2","EmptyCatchBlock","C:\pmd_baseline\export\ce_rcp\plugins\com.ibm.tdi.rcp\src\com\ibm\di\config\eclipse\TDIConfigurationFile.java","824","Avoid empty catch blocks","http://pmd.sourceforge.net/rules/index.html#EmptyCatchBlock","159970859","pmd",
"2","EmptyCatchBlock","C:\pmd_baseline\export\ce_rcp\plugins\com.ibm.tdi.rcp\src\com\ibm\di\config\eclipse\TDIConfigurationFile.java","890","Avoid empty catch blocks","http://pmd.sourceforge.net/rules/index.html#EmptyCatchBlock","219354138","pmd",
"2","EmptyCatchBlock","C:\pmd_baseline\export\ce_rcp\plugins\com.ibm.tdi.rcp\src\com\ibm\tdi\eclipse\ConfigUtils.java","144","Avoid empty catch blocks","http://pmd.sourceforge.net/rules/index.html#EmptyCatchBlock","232907041","pmd",
"2","EmptyCatchBlock","C:\pmd_baseline\export\ce_rcp\plugins\com.ibm.tdi.rcp\src\com\ibm\tdi\eclipse\ConfigUtils.java","640","Avoid empty catch blocks","http://pmd.sourceforge.net/rules/index.html#EmptyCatchBlock","-784738266","pmd",
"2","EmptyCatchBlock","C:\pmd_baseline\export\ce_rcp\plugins\com.ibm.tdi.rcp\src\com\ibm\tdi\eclipse\ConfigUtils.java","647","Avoid empty catch blocks","http://pmd.sourceforge.net/rules/index.html#EmptyCatchBlock","-784708475","pmd",
"2","EmptyCatchBlock","C:\pmd_baseline\export\ce_rcp\plugins\com.ibm.tdi.rcp\src\com\ibm\tdi\eclipse\ConfigUtils.java","654","Avoid empty catch blocks","http://pmd.sourceforge.net/rules/index.html#EmptyCatchBlock","-784708475","pmd",
"2","EmptyCatchBlock","C:\pmd_baseline\export\ce_rcp\plugins\com.ibm.tdi.rcp\src\com\ibm\tdi\eclipse\ConfigUtils.java","85","Avoid empty catch blocks","http://pmd.sourceforge.net/rules/index.html#EmptyCatchBlock","-1369512460","pmd",
"2","EmptyCatchBlock","C:\pmd_baseline\export\ce_rcp\plugins\com.ibm.tdi.rcp\src\com\ibm\tdi\eclipse\IntroPart.java","166","Avoid empty catch blocks","http://pmd.sourceforge.net/rules/index.html#EmptyCatchBlock","-1549343632","pmd",
"2","EmptyCatchBlock","C:\pmd_baseline\export\ce_rcp\plugins\com.ibm.tdi.rcp\src\com\ibm\tdi\eclipse\TDI.java","130","Avoid empty catch blocks","http://pmd.sourceforge.net/rules/index.html#EmptyCatchBlock","-1549343632","pmd",
"2","EmptyCatchBlock","C:\pmd_baseline\export\ce_rcp\plugins\com.ibm.tdi.rcp\src\com\ibm\tdi\eclipse\actions\RunReportAction.java","181","Avoid empty catch blocks","http://pmd.sourceforge.net/rules/index.html#EmptyCatchBlock","232907041","pmd",
